visitorid,Top10_RandomForest,Top10_Popularity
767849,"[461686, 143416, 147684, 373600, 264179, 283138, 141908, 243355, 453390, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
768946,"[461686, 143416, 147684, 19789, 136860, 358348, 82586, 373600, 32581, 264179]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
779794,"[461686, 143416, 147684, 213834, 373600, 283138, 140156, 453390, 264179, 136860]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
785782,"[461686, 143416, 213834, 147684, 82586, 373600, 140156, 400946, 453390, 84160]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
795975,"[461686, 143416, 213834, 147684, 82586, 453390, 373600, 136860, 400946, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
804216,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 7943, 372568, 445224]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
814892,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 7943, 372568, 445224]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
817474,"[461686, 143416, 147684, 213834, 218170, 19789, 140156, 373600, 453390, 82586]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
824775,"[461686, 143416, 213834, 147684, 82586, 136860, 453390, 140156, 214630, 141240]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
832773,"[461686, 143416, 147684, 373600, 283138, 264179, 453390, 243355, 141908, 213834]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
833447,"[461686, 143416, 147684, 213834, 264179, 373600, 140156, 136860, 141240, 214630]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
837675,"[461686, 143416, 147684, 283138, 264179, 373600, 141908, 213834, 216592, 243355]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
839529,"[461686, 143416, 147684, 373600, 213834, 140156, 453390, 243355, 19789, 218170]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
854134,"[461686, 143416, 147684, 218170, 19789, 243355, 213834, 373600, 400946, 82586]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
870114,"[461686, 143416, 147684, 373600, 283138, 264179, 453390, 141908, 243355, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
871243,"[461686, 143416, 213834, 147684, 373600, 140156, 264179, 136860, 216592, 141240]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
871424,"[461686, 143416, 147684, 373600, 283138, 264179, 453390, 141908, 243355, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
883745,"[461686, 143416, 373600, 358348, 136860, 450455, 120763, 147684, 120098, 149767]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
886905,"[461686, 143416, 147684, 82586, 213834, 373600, 136860, 264179, 19789, 283138]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
889244,"[461686, 143416, 147684, 213834, 373600, 136860, 264179, 214630, 140156, 141240]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
895999,"[143416, 19789, 214630, 381982, 138114, 450455, 367588, 383662, 139936, 453390]","[7943, 318333, 268883, 379520, 309778, 288525, 316472, 29196, 448453, 316753]"
896066,"[143416, 214630, 381982, 450455, 141908, 367588, 322032, 138114, 373600, 82586]","[461686, 119736, 213834, 445351, 48030, 7943, 369447, 312728, 420960, 416017]"
899857,"[143416, 373600, 141908, 216592, 138114, 345279, 450455, 38965, 149767, 84310]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
916742,"[461686, 143416, 147684, 373600, 283138, 264179, 453390, 141908, 243355, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
918277,"[461686, 143416, 213834, 147684, 358348, 140156, 283138, 453390, 373600, 120763]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
930694,"[461686, 143416, 218170, 147684, 82586, 19789, 373600, 264179, 84160, 213834]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
931074,"[461686, 143416, 147684, 373600, 243355, 140156, 283138, 453390, 400946, 19789]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
938396,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 7943, 372568, 445224]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
959808,"[461686, 143416, 147684, 373600, 264179, 283138, 243355, 453390, 141908, 136860]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
970787,"[461686, 143416, 213834, 147684, 82586, 373600, 140156, 453390, 136860, 120763]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
983783,"[461686, 143416, 147684, 373600, 264179, 283138, 243355, 141908, 453390, 19789]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
986353,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 7943, 372568, 445224]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
986413,"[461686, 143416, 213834, 147684, 358348, 120098, 170262, 82586, 369933, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
994820,"[143416, 461686, 213834, 373600, 82586, 453390, 120763, 19789, 450455, 383662]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1000093,"[461686, 143416, 147684, 213834, 453390, 82586, 19789, 373600, 140156, 400946]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1000306,"[143416, 19789, 383662, 322032, 381982, 149767, 320900, 218170, 150318, 138114]","[461686, 119736, 445351, 48030, 7943, 17478, 369447, 312728, 420960, 416017]"
1003058,"[461686, 143416, 453390, 147684, 120763, 136860, 32581, 217068, 140156, 213834]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 420960, 416017]"
1013418,"[461686, 143416, 213834, 147684, 453390, 283138, 140156, 373600, 358348, 120763]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1025012,"[461686, 143416, 213834, 147684, 358348, 399192, 16344, 120098, 375332, 369112]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1025723,"[143416, 461686, 147684, 213834, 243355, 373600, 140156, 218170, 453390, 217068]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1030794,"[461686, 143416, 147684, 283138, 7943, 264179, 141908, 218170, 312728, 372568]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1044793,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 243355, 216592, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1061238,"[461686, 143416, 147684, 19789, 358348, 32581, 218170, 140156, 453390, 301721]","[461686, 119736, 48030, 7943, 17478, 369447, 312728, 420960, 416017, 46156]"
1064422,"[461686, 143416, 147684, 218170, 19789, 138114, 373600, 322032, 264179, 141908]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1065189,"[461686, 143416, 147684, 373600, 283138, 243355, 140156, 453390, 19789, 400946]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1074354,"[461686, 143416, 147684, 373600, 264179, 141908, 283138, 243355, 453390, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1076479,"[461686, 143416, 213834, 147684, 82586, 140156, 453390, 373600, 321905, 136860]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1080273,"[143416, 461686, 147684, 283138, 373600, 264179, 243355, 141908, 453390, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1082305,"[461686, 143416, 147684, 218170, 141240, 138309, 136860, 19789, 214630, 143866]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1083118,"[143416, 269085, 141240, 19789, 25514, 150318, 322032, 320900, 373600, 214630]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1098959,"[461686, 143416, 213834, 147684, 358348, 373600, 453390, 82586, 140156, 120763]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1100892,"[461686, 143416, 147684, 373600, 283138, 243355, 264179, 141908, 453390, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1101111,"[461686, 143416, 147684, 373600, 283138, 264179, 213834, 141908, 453390, 243355]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1102279,"[461686, 143416, 264179, 147684, 283138, 216592, 213834, 373600, 141908, 224182]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1115990,"[461686, 143416, 213834, 147684, 136860, 453390, 82586, 283138, 372568, 373600]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1124622,"[461686, 143416, 213834, 147684, 453390, 140156, 120763, 136860, 82586, 283138]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1125765,"[461686, 143416, 147684, 213834, 358348, 383662, 131385, 19789, 32581, 84160]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1126569,"[143416, 214630, 19789, 320900, 141240, 322032, 372523, 150318, 373725, 269085]","[213834, 48030, 7943, 17478, 369447, 416017, 46156, 318333, 37029, 382885]"
1128190,"[461686, 143416, 147684, 218170, 19789, 264179, 373600, 82586, 138114, 213834]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1129614,"[461686, 143416, 213834, 147684, 453390, 283138, 140156, 358348, 373600, 136860]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1138492,"[461686, 143416, 147684, 373600, 283138, 264179, 453390, 141908, 243355, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1147655,"[461686, 143416, 213834, 147684, 283138, 453390, 140156, 358348, 373600, 120763]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1150086,"[25514, 373600, 141908, 150318, 215596, 143416, 214630, 264179, 136860, 149767]","[369447, 416017, 379520, 42002, 460553, 222888, 210087, 358895, 57245, 51354]"
1150460,"[461686, 143416, 147684, 373600, 283138, 243355, 264179, 141908, 453390, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1160258,"[461686, 143416, 147684, 373600, 243355, 453390, 283138, 140156, 19789, 400946]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1163709,"[461686, 143416, 213834, 147684, 373600, 136860, 140156, 214630, 141240, 264179]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1165148,"[143416, 214630, 381982, 19789, 367588, 141908, 373600, 138114, 322032, 141240]","[461686, 119736, 213834, 48030, 420960, 46156, 409804, 318333, 268883, 37029]"
1170710,"[461686, 143416, 213834, 147684, 120098, 358348, 283138, 453390, 120763, 373600]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1172832,"[461686, 143416, 147684, 82586, 373600, 84160, 400946, 213834, 243355, 136860]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1183412,"[143416, 147684, 373600, 82586, 136860, 453390, 218170, 213834, 264179, 140156]","[119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960, 416017]"
1188424,"[461686, 143416, 147684, 373600, 264179, 136860, 380810, 243355, 25514, 141908]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1188952,"[143416, 141240, 19789, 214630, 25514, 373600, 141908, 322032, 320900, 381982]","[461686, 119736, 445351, 48030, 17478, 369447, 312728, 420960, 416017, 46156]"
1203751,"[461686, 143416, 213834, 147684, 358348, 453390, 120098, 92361, 140156, 16344]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1210136,"[143416, 461686, 373600, 320496, 136860, 217946, 141908, 141240, 136182, 120763]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1212426,"[143416, 461686, 147684, 213834, 373600, 243355, 218170, 140156, 453390, 19789]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1213423,"[461686, 143416, 147684, 213834, 373600, 283138, 243355, 400946, 141908, 136860]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1215034,"[461686, 143416, 147684, 264179, 373600, 213834, 216592, 136860, 283138, 141908]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1216153,"[461686, 143416, 373600, 147684, 213834, 136860, 264179, 140156, 453390, 214630]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1218507,"[461686, 143416, 213834, 147684, 82586, 373600, 140156, 84160, 453390, 400946]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1220196,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 7943, 372568, 445224]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1263731,"[461686, 143416, 147684, 213834, 373600, 264179, 136860, 216592, 140156, 141240]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1276539,"[461686, 143416, 213834, 147684, 453390, 140156, 82586, 358348, 373600, 120763]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1290336,"[461686, 143416, 147684, 373600, 283138, 264179, 453390, 141908, 243355, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1294402,"[461686, 143416, 147684, 283138, 373600, 264179, 213834, 141908, 453390, 216592]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1295179,"[143416, 461686, 147684, 213834, 243355, 373600, 140156, 453390, 218170, 217068]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1296635,"[461686, 143416, 147684, 136860, 32581, 264179, 358348, 19789, 322032, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1306387,"[461686, 143416, 147684, 373600, 140156, 453390, 263008, 243355, 283138, 19789]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1308517,"[143416, 461686, 147684, 283138, 373600, 264179, 141908, 243355, 453390, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1312942,"[461686, 143416, 213834, 147684, 358348, 453390, 375332, 369112, 283138, 240558]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1313381,"[143416, 19789, 320900, 322032, 150889, 381982, 383662, 141240, 214630, 25514]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 420960, 416017]"
1315702,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 7943, 372568, 445224]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1319884,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 243355, 216592, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1326010,"[461686, 143416, 147684, 373600, 264179, 283138, 141908, 243355, 453390, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1327109,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 7943, 372568, 445224]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1336835,"[143416, 214630, 217946, 450455, 141908, 19789, 136860, 138114, 149767, 373600]","[461686, 119736, 48030, 7943, 17478, 416017, 46156, 409804, 318333, 37029]"
1337842,"[461686, 143416, 147684, 373600, 264179, 283138, 141908, 453390, 213834, 136860]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1349155,"[461686, 143416, 147684, 373600, 283138, 141908, 243355, 264179, 453390, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1349746,"[143416, 461686, 373600, 141240, 214630, 25514, 141908, 19789, 150318, 450455]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1351796,"[461686, 143416, 217946, 136860, 148855, 144991, 120763, 453390, 24728, 223944]","[461686, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960, 416017]"
1352044,"[143416, 461686, 453390, 217946, 136860, 120763, 148855, 450455, 217068, 369924]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1366787,"[461686, 143416, 213834, 147684, 19789, 218170, 82586, 453390, 140156, 373600]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1374225,"[461686, 143416, 147684, 283138, 264179, 373600, 141908, 213834, 243355, 400946]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1378332,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 243355, 216592, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1378697,"[461686, 143416, 147684, 358348, 19789, 453390, 32581, 136860, 373600, 131385]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 420960, 416017]"
1405929,"[461686, 143416, 147684, 373600, 213834, 264179, 283138, 141908, 400946, 243355]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
1406708,"[461686, 143416, 213834, 147684, 358348, 140156, 453390, 373600, 120763, 456056]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
