ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year
13009714,JH13009714,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,18,42,8,06,2025
13009715,JH13009715,12/31/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13009716,JH13009716,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13009717,JH13009717,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,14,42,8,06,2025
13009718,JH13009718,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,true,1224,25,42,8,06,2025
13009719,JH13009719,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,true,false,1224,1,42,8,06,2025
13009720,JH13009720,12/31/2025 12:00:00 AM,100X N STATE ST,0820,NARCOTICS,$500 AND UNDER,STREET,false,false,1224,1,42,8,06,2025
13009721,JH13009721,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,true,1224,14,42,8,06,2025
13009722,JH13009722,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,1,42,8,06,2025
13009723,JH13009723,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,true,1224,6,42,8,06,2025
13009724,JH13009724,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,10,42,8,06,2025
13009725,JH13009725,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,true,false,1224,24,42,8,06,2025
13009726,JH13009726,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,1,42,8,06,2025
13009727,JH13009727,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,5,42,8,06,2025
13009728,JH13009728,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,25,42,8,06,2025
13009729,JH13009729,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,2,42,8,06,2025
13009730,JH13009730,12/31/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,3,42,8,06,2025
13009731,JH13009731,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,3,42,8,06,2025
13009732,JH13009732,12/31/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,19,42,8,06,2025
13009733,JH13009733,12/31/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,true,1224,8,42,8,06,2025
13009734,JH13009734,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,9,42,8,06,2025
13009735,JH13009735,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,false,1224,2,42,8,06,2025
13009736,JH13009736,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,true,1224,2,42,8,06,2025
13009737,JH13009737,12/31/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,17,42,8,06,2025
13009738,JH13009738,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,true,false,1224,7,42,8,06,2025
13009739,JH13009739,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,4,42,8,06,2025
13009740,JH13009740,12/31/2025 12:00:00 AM,100X N STATE ST,0820,NARCOTICS,$500 AND UNDER,STREET,false,true,1224,5,42,8,06,2025
13009741,JH13009741,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BURGLARY,$500 AND UNDER,STREET,false,false,1224,1,42,8,06,2025
13009742,JH13009742,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,true,false,1224,25,42,8,06,2025
13009743,JH13009743,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,10,42,8,06,2025
13009744,JH13009744,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,false,1224,14,42,8,06,2025
13009745,JH13009745,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,16,42,8,06,2025
13009746,JH13009746,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,1,42,8,06,2025
13009747,JH13009747,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,true,false,1224,19,42,8,06,2025
13009748,JH13009748,12/31/2025 12:00:00 AM,100X N STATE ST,0820,MOTOR VEHICLE THEFT,$500 AND UNDER,STREET,true,false,1224,15,42,8,06,2025
13009749,JH13009749,12/31/2025 12:00:00 AM,100X N STATE ST,0820,MOTOR VEHICLE THEFT,$500 AND UNDER,STREET,false,false,1224,19,42,8,06,2025
13009750,JH13009750,12/31/2025 12:00:00 AM,100X N STATE ST,0820,NARCOTICS,$500 AND UNDER,STREET,true,false,1224,25,42,8,06,2025
13009751,JH13009751,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,12,42,8,06,2025
13009752,JH13009752,12/31/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,true,1224,12,42,8,06,2025
13009753,JH13009753,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,5,42,8,06,2025
13009754,JH13009754,12/31/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,true,false,1224,7,42,8,06,2025
13009755,JH13009755,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,14,42,8,06,2025
13009756,JH13009756,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,true,1224,9,42,8,06,2025
13009757,JH13009757,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,6,42,8,06,2025
13009758,JH13009758,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,24,42,8,06,2025
13009759,JH13009759,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13009760,JH13009760,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,19,42,8,06,2025
13009761,JH13009761,12/31/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,16,42,8,06,2025
13009762,JH13009762,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,true,false,1224,8,42,8,06,2025
13009763,JH13009763,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,22,42,8,06,2025
13009764,JH13009764,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,17,42,8,06,2025
13009765,JH13009765,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,18,42,8,06,2025
13009766,JH13009766,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,true,1224,3,42,8,06,2025
13009767,JH13009767,12/31/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,14,42,8,06,2025
13009768,JH13009768,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,false,1224,9,42,8,06,2025
13009769,JH13009769,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,22,42,8,06,2025
13009770,JH13009770,12/31/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,false,1224,16,42,8,06,2025
13009771,JH13009771,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,17,42,8,06,2025
13009772,JH13009772,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,17,42,8,06,2025
13009773,JH13009773,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,20,42,8,06,2025
13009774,JH13009774,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,true,false,1224,4,42,8,06,2025
13009775,JH13009775,12/31/2025 12:00:00 AM,100X N STATE ST,0820,NARCOTICS,$500 AND UNDER,STREET,false,false,1224,20,42,8,06,2025
13009776,JH13009776,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,false,1224,20,42,8,06,2025
13009777,JH13009777,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,true,false,1224,2,42,8,06,2025
13009778,JH13009778,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BURGLARY,$500 AND UNDER,STREET,false,false,1224,6,42,8,06,2025
13009779,JH13009779,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,14,42,8,06,2025
13009780,JH13009780,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,16,42,8,06,2025
13009781,JH13009781,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,true,1224,10,42,8,06,2025
13009782,JH13009782,12/31/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,false,1224,25,42,8,06,2025
13009783,JH13009783,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,10,42,8,06,2025
13009784,JH13009784,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,false,1224,4,42,8,06,2025
13009785,JH13009785,12/31/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,false,1224,15,42,8,06,2025
13009786,JH13009786,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,8,42,8,06,2025
13009787,JH13009787,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,6,42,8,06,2025
13009788,JH13009788,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,false,1224,12,42,8,06,2025
13009789,JH13009789,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,true,true,1224,8,42,8,06,2025
13009790,JH13009790,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BURGLARY,$500 AND UNDER,STREET,false,false,1224,6,42,8,06,2025
13009791,JH13009791,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,16,42,8,06,2025
13009792,JH13009792,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,20,42,8,06,2025
13009793,JH13009793,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BURGLARY,$500 AND UNDER,STREET,false,false,1224,15,42,8,06,2025
13009794,JH13009794,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,3,42,8,06,2025
13009795,JH13009795,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,false,1224,19,42,8,06,2025
13009796,JH13009796,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,10,42,8,06,2025
13009797,JH13009797,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,true,false,1224,15,42,8,06,2025
13009798,JH13009798,12/31/2025 12:00:00 AM,100X N STATE ST,0820,NARCOTICS,$500 AND UNDER,STREET,false,false,1224,15,42,8,06,2025
13009799,JH13009799,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,25,42,8,06,2025
13009800,JH13009800,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,true,1224,7,42,8,06,2025
13009801,JH13009801,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,true,1224,7,42,8,06,2025
13009802,JH13009802,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,true,1224,24,42,8,06,2025
13009803,JH13009803,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,25,42,8,06,2025
13009804,JH13009804,12/31/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,true,1224,11,42,8,06,2025
13009805,JH13009805,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,19,42,8,06,2025
13009806,JH13009806,12/31/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,false,1224,10,42,8,06,2025
13009807,JH13009807,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,true,true,1224,16,42,8,06,2025
13009808,JH13009808,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,12,42,8,06,2025
13009809,JH13009809,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,false,1224,18,42,8,06,2025
13009810,JH13009810,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,false,1224,25,42,8,06,2025
13009811,JH13009811,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,18,42,8,06,2025
13009812,JH13009812,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,1,42,8,06,2025
13009813,JH13009813,12/31/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,true,true,1224,6,42,8,06,2025
13009814,JH13009814,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,true,false,1224,24,42,8,06,2025
13009815,JH13009815,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,16,42,8,06,2025
13009816,JH13009816,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,20,42,8,06,2025
13009817,JH13009817,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,false,1224,15,42,8,06,2025
13009818,JH13009818,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,10,42,8,06,2025
13009819,JH13009819,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,false,1224,10,42,8,06,2025
13009820,JH13009820,12/31/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13009821,JH13009821,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,false,1224,7,42,8,06,2025
13009822,JH13009822,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,15,42,8,06,2025
13009823,JH13009823,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,16,42,8,06,2025
13009824,JH13009824,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,true,false,1224,25,42,8,06,2025
13009825,JH13009825,12/31/2025 12:00:00 AM,100X N STATE ST,0820,MOTOR VEHICLE THEFT,$500 AND UNDER,STREET,false,false,1224,22,42,8,06,2025
13009826,JH13009826,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,true,false,1224,9,42,8,06,2025
13009827,JH13009827,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,16,42,8,06,2025
13009828,JH13009828,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,9,42,8,06,2025
13009829,JH13009829,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13009830,JH13009830,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,11,42,8,06,2025
13009831,JH13009831,12/31/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,true,1224,5,42,8,06,2025
13009832,JH13009832,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,true,false,1224,9,42,8,06,2025
13009833,JH13009833,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,6,42,8,06,2025
13009834,JH13009834,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13009835,JH13009835,12/31/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,15,42,8,06,2025
13009836,JH13009836,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,20,42,8,06,2025
13009837,JH13009837,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,25,42,8,06,2025
13009838,JH13009838,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,25,42,8,06,2025
13009839,JH13009839,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,true,1224,11,42,8,06,2025
13009840,JH13009840,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13009841,JH13009841,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,6,42,8,06,2025
13009842,JH13009842,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,4,42,8,06,2025
13009843,JH13009843,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,15,42,8,06,2025
13009844,JH13009844,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,25,42,8,06,2025
13009845,JH13009845,12/31/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,false,1224,3,42,8,06,2025
13009846,JH13009846,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,18,42,8,06,2025
13009847,JH13009847,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,true,false,1224,16,42,8,06,2025
13009848,JH13009848,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,true,1224,1,42,8,06,2025
13009849,JH13009849,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,true,false,1224,24,42,8,06,2025
13009850,JH13009850,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BURGLARY,$500 AND UNDER,STREET,false,false,1224,11,42,8,06,2025
13009851,JH13009851,12/31/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,14,42,8,06,2025
13009852,JH13009852,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,true,false,1224,3,42,8,06,2025
13009853,JH13009853,12/31/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,14,42,8,06,2025
13009854,JH13009854,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,19,42,8,06,2025
13009855,JH13009855,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,true,1224,9,42,8,06,2025
13009856,JH13009856,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,2,42,8,06,2025
13009857,JH13009857,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,true,false,1224,8,42,8,06,2025
13009858,JH13009858,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,2,42,8,06,2025
13009859,JH13009859,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,1,42,8,06,2025
13009860,JH13009860,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,true,1224,3,42,8,06,2025
13009861,JH13009861,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BURGLARY,$500 AND UNDER,STREET,true,false,1224,18,42,8,06,2025
13009862,JH13009862,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13009863,JH13009863,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,10,42,8,06,2025
13009864,JH13009864,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,true,1224,20,42,8,06,2025
13009865,JH13009865,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,9,42,8,06,2025
13009866,JH13009866,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,19,42,8,06,2025
13009867,JH13009867,12/31/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,true,1224,16,42,8,06,2025
13009868,JH13009868,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,18,42,8,06,2025
13009869,JH13009869,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,true,1224,25,42,8,06,2025
13009870,JH13009870,12/31/2025 12:00:00 AM,100X N STATE ST,0820,MOTOR VEHICLE THEFT,$500 AND UNDER,STREET,true,false,1224,18,42,8,06,2025
13009871,JH13009871,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,20,42,8,06,2025
13009872,JH13009872,12/31/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,9,42,8,06,2025
13009873,JH13009873,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,6,42,8,06,2025
13009874,JH13009874,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,20,42,8,06,2025
13009875,JH13009875,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,8,42,8,06,2025
13009876,JH13009876,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BURGLARY,$500 AND UNDER,STREET,false,false,1224,6,42,8,06,2025
13009877,JH13009877,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,18,42,8,06,2025
13009878,JH13009878,12/31/2025 12:00:00 AM,100X N STATE ST,0820,NARCOTICS,$500 AND UNDER,STREET,true,false,1224,6,42,8,06,2025
13009879,JH13009879,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,14,42,8,06,2025
13009880,JH13009880,12/31/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,false,1224,24,42,8,06,2025
13009881,JH13009881,12/31/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,2,42,8,06,2025
13009882,JH13009882,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,12,42,8,06,2025
13009883,JH13009883,12/31/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13009884,JH13009884,12/31/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,6,42,8,06,2025
13009885,JH13009885,12/31/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,18,42,8,06,2025
13009886,JH13009886,12/31/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,8,42,8,06,2025
13009887,JH13009887,12/31/2025 12:00:00 AM,100X N STATE ST,0820,NARCOTICS,$500 AND UNDER,STREET,false,false,1224,6,42,8,06,2025
13009888,JH13009888,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,true,1224,20,42,8,06,2025
13009889,JH13009889,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,24,42,8,06,2025
13009890,JH13009890,12/31/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,true,true,1224,9,42,8,06,2025
